lr = 0.01	alpha = 0	embedding_size = 16	reg = [1e-7,1e-7]
Epoch 0 [14.1s + 27.4s]: HR = 0.5862, NDCG = 0.3429, loss = 0.2488 [11.6s] train_loss = 0.3820 [4.5s]
Epoch 1 [14.1s + 28.9s]: HR = 0.6313, NDCG = 0.3799, loss = 0.2314 [11.6s] train_loss = 0.3560 [4.6s]
Epoch 2 [14.1s + 27.5s]: HR = 0.6468, NDCG = 0.3913, loss = 0.2234 [10.8s] train_loss = 0.3445 [4.2s]
Epoch 3 [14.1s + 26.6s]: HR = 0.6576, NDCG = 0.3985, loss = 0.2148 [10.8s] train_loss = 0.3378 [4.2s]
Epoch 4 [14.1s + 26.6s]: HR = 0.6641, NDCG = 0.4029, loss = 0.2083 [10.8s] train_loss = 0.3325 [4.2s]
Epoch 5 [14.1s + 27.0s]: HR = 0.6715, NDCG = 0.4087, loss = 0.2074 [10.5s] train_loss = 0.3274 [4.0s]
Epoch 6 [14.1s + 26.0s]: HR = 0.6800, NDCG = 0.4156, loss = 0.2065 [11.2s] train_loss = 0.3226 [4.2s]
Epoch 7 [14.1s + 27.4s]: HR = 0.6873, NDCG = 0.4214, loss = 0.2039 [11.5s] train_loss = 0.3182 [4.5s]
Epoch 8 [14.1s + 26.9s]: HR = 0.6943, NDCG = 0.4271, loss = 0.1978 [10.8s] train_loss = 0.3143 [4.0s]
Epoch 9 [14.1s + 27.1s]: HR = 0.7007, NDCG = 0.4319, loss = 0.1997 [10.8s] train_loss = 0.3109 [4.2s]
Epoch 10 [14.1s + 26.7s]: HR = 0.7058, NDCG = 0.4357, loss = 0.1946 [11.1s] train_loss = 0.3080 [4.2s]
Epoch 11 [14.1s + 28.3s]: HR = 0.7103, NDCG = 0.4397, loss = 0.1936 [11.1s] train_loss = 0.3053 [4.2s]
Epoch 12 [14.1s + 27.3s]: HR = 0.7123, NDCG = 0.4418, loss = 0.1919 [11.4s] train_loss = 0.3030 [4.3s]
Epoch 13 [14.1s + 27.3s]: HR = 0.7178, NDCG = 0.4448, loss = 0.1949 [10.9s] train_loss = 0.3008 [4.6s]
Epoch 14 [14.1s + 27.9s]: HR = 0.7186, NDCG = 0.4461, loss = 0.1896 [10.8s] train_loss = 0.2987 [4.2s]
