lr = 0.01	alpha = 0	embedding_size = 16	reg = [1e-7,1e-7]
Epoch 0 [13.7s + 27.3s]: HR = 0.6041, NDCG = 0.3588, loss =0.2457 [10.9457s] train_loss =0.3761 [4.1s]
Epoch 1 [13.7s + 27.4s]: HR = 0.6407, NDCG = 0.3864, loss =0.2295 [10.8458s] train_loss =0.3520 [4.4s]
Epoch 2 [13.7s + 27.9s]: HR = 0.6530, NDCG = 0.3948, loss =0.2252 [11.1446s] train_loss =0.3421 [4.4s]
Epoch 3 [13.7s + 27.1s]: HR = 0.6642, NDCG = 0.4030, loss =0.2112 [10.9537s] train_loss =0.3352 [4.6s]
Epoch 4 [13.7s + 27.8s]: HR = 0.6729, NDCG = 0.4087, loss =0.2107 [11.1486s] train_loss =0.3290 [4.2s]
Epoch 5 [13.7s + 27.6s]: HR = 0.6808, NDCG = 0.4152, loss =0.2006 [10.8330s] train_loss =0.3244 [4.3s]
Epoch 6 [13.7s + 27.8s]: HR = 0.6897, NDCG = 0.4214, loss =0.2030 [10.9757s] train_loss =0.3191 [4.4s]
Epoch 7 [13.7s + 26.8s]: HR = 0.6979, NDCG = 0.4282, loss =0.1998 [10.7998s] train_loss =0.3153 [4.4s]
Epoch 8 [13.7s + 27.6s]: HR = 0.7043, NDCG = 0.4327, loss =0.2025 [10.6509s] train_loss =0.3120 [4.3s]
Epoch 9 [13.7s + 28.4s]: HR = 0.7073, NDCG = 0.4358, loss =0.1940 [11.2749s] train_loss =0.3094 [4.8s]
Epoch 10 [13.7s + 29.5s]: HR = 0.7112, NDCG = 0.4397, loss =0.1949 [11.8355s] train_loss =0.3066 [4.5s]
Epoch 11 [13.7s + 29.3s]: HR = 0.7148, NDCG = 0.4430, loss =0.1944 [11.5043s] train_loss =0.3043 [4.5s]
Epoch 12 [13.7s + 27.6s]: HR = 0.7174, NDCG = 0.4452, loss =0.1927 [10.6373s] train_loss =0.3022 [4.2s]
Epoch 13 [13.7s + 27.3s]: HR = 0.7214, NDCG = 0.4480, loss =0.1923 [11.0157s] train_loss =0.3002 [4.4s]
Epoch 14 [13.7s + 27.0s]: HR = 0.7229, NDCG = 0.4501, loss =0.1903 [10.9447s] train_loss =0.2984 [4.4s]
