lr = 0.01	alpha = 0	embedding_size = 16	reg = [1e-7,1e-7]
Epoch 0 [14.6s + 22.6s]: HR = 0.6093, NDCG = 0.3639, loss =0.2313 [10.9407s] train_loss =0.3602 [4.6s]
Epoch 1 [14.6s + 22.0s]: HR = 0.6445, NDCG = 0.3869, loss =0.2013 [10.5943s] train_loss =0.3274 [4.3s]
Epoch 2 [14.6s + 21.6s]: HR = 0.6581, NDCG = 0.3959, loss =0.1916 [10.4920s] train_loss =0.3066 [4.1s]
Epoch 3 [14.6s + 21.6s]: HR = 0.6682, NDCG = 0.4040, loss =0.1833 [10.5670s] train_loss =0.2869 [4.2s]
Epoch 4 [14.6s + 22.5s]: HR = 0.6749, NDCG = 0.4096, loss =0.1666 [10.7054s] train_loss =0.2654 [4.1s]
Epoch 5 [14.6s + 21.8s]: HR = 0.6809, NDCG = 0.4154, loss =0.1598 [10.8668s] train_loss =0.2416 [4.2s]
Epoch 6 [14.6s + 21.6s]: HR = 0.6875, NDCG = 0.4206, loss =0.1485 [10.5100s] train_loss =0.2174 [4.2s]
Epoch 7 [14.6s + 21.6s]: HR = 0.6944, NDCG = 0.4243, loss =0.1385 [11.4934s] train_loss =0.1939 [4.1s]
Epoch 8 [14.6s + 21.9s]: HR = 0.6995, NDCG = 0.4283, loss =0.1263 [10.9297s] train_loss =0.1724 [4.1s]
Epoch 9 [14.6s + 23.8s]: HR = 0.7032, NDCG = 0.4301, loss =0.1166 [11.0897s] train_loss =0.1532 [4.9s]
Epoch 10 [14.6s + 22.9s]: HR = 0.7074, NDCG = 0.4329, loss =0.1129 [11.8061s] train_loss =0.1359 [4.7s]
Epoch 11 [14.6s + 23.6s]: HR = 0.7103, NDCG = 0.4340, loss =0.1058 [12.5619s] train_loss =0.1212 [5.1s]
Epoch 12 [14.6s + 23.7s]: HR = 0.7122, NDCG = 0.4341, loss =0.0967 [12.0793s] train_loss =0.1084 [4.5s]
Epoch 13 [14.6s + 22.9s]: HR = 0.7134, NDCG = 0.4345, loss =0.0911 [11.2168s] train_loss =0.0975 [4.3s]
Epoch 14 [14.6s + 22.2s]: HR = 0.7161, NDCG = 0.4355, loss =0.0879 [10.8858s] train_loss =0.0882 [4.5s]
Epoch 15 [14.6s + 21.9s]: HR = 0.7160, NDCG = 0.4344, loss =0.0820 [10.7509s] train_loss =0.0801 [4.2s]
Epoch 16 [14.6s + 21.9s]: HR = 0.7153, NDCG = 0.4343, loss =0.0769 [10.7419s] train_loss =0.0733 [4.3s]
Epoch 17 [14.6s + 23.7s]: HR = 0.7144, NDCG = 0.4337, loss =0.0735 [12.0869s] train_loss =0.0673 [4.8s]
Epoch 18 [14.6s + 25.6s]: HR = 0.7138, NDCG = 0.4334, loss =0.0716 [12.5991s] train_loss =0.0619 [5.1s]
Epoch 19 [14.6s + 23.0s]: HR = 0.7142, NDCG = 0.4336, loss =0.0698 [11.6833s] train_loss =0.0572 [5.1s]
Epoch 20 [14.6s + 22.5s]: HR = 0.7137, NDCG = 0.4338, loss =0.0677 [10.7848s] train_loss =0.0532 [4.2s]
Epoch 21 [14.6s + 22.1s]: HR = 0.7137, NDCG = 0.4337, loss =0.0665 [10.7568s] train_loss =0.0495 [4.2s]
Epoch 22 [14.6s + 21.7s]: HR = 0.7126, NDCG = 0.4331, loss =0.0642 [10.7578s] train_loss =0.0464 [4.3s]
Epoch 23 [14.6s + 22.3s]: HR = 0.7128, NDCG = 0.4327, loss =0.0636 [11.9562s] train_loss =0.0435 [5.3s]
Epoch 24 [14.6s + 21.8s]: HR = 0.7123, NDCG = 0.4325, loss =0.0629 [12.0240s] train_loss =0.0410 [4.5s]
Epoch 25 [14.6s + 23.6s]: HR = 0.7121, NDCG = 0.4322, loss =0.0613 [10.8048s] train_loss =0.0386 [4.6s]
Epoch 26 [14.6s + 22.1s]: HR = 0.7126, NDCG = 0.4320, loss =0.0601 [10.9777s] train_loss =0.0365 [4.1s]
Epoch 27 [14.6s + 23.3s]: HR = 0.7122, NDCG = 0.4316, loss =0.0592 [10.9457s] train_loss =0.0346 [4.3s]
Epoch 28 [14.6s + 21.8s]: HR = 0.7125, NDCG = 0.4316, loss =0.0588 [10.7499s] train_loss =0.0328 [4.2s]
Epoch 29 [14.6s + 21.7s]: HR = 0.7128, NDCG = 0.4314, loss =0.0581 [10.7549s] train_loss =0.0313 [4.2s]
Epoch 30 [14.6s + 22.2s]: HR = 0.7115, NDCG = 0.4306, loss =0.0573 [10.7392s] train_loss =0.0298 [4.3s]
Epoch 31 [14.6s + 22.0s]: HR = 0.7113, NDCG = 0.4304, loss =0.0569 [10.7459s] train_loss =0.0284 [4.1s]
Epoch 32 [14.6s + 21.9s]: HR = 0.7117, NDCG = 0.4306, loss =0.0567 [10.9437s] train_loss =0.0273 [4.3s]
Epoch 33 [14.6s + 21.9s]: HR = 0.7108, NDCG = 0.4297, loss =0.0561 [10.7888s] train_loss =0.0261 [4.2s]
Epoch 34 [14.6s + 22.0s]: HR = 0.7108, NDCG = 0.4295, loss =0.0558 [10.7988s] train_loss =0.0250 [4.1s]
Epoch 35 [14.6s + 22.0s]: HR = 0.7102, NDCG = 0.4295, loss =0.0555 [10.7968s] train_loss =0.0241 [4.2s]
Epoch 36 [14.6s + 21.9s]: HR = 0.7102, NDCG = 0.4293, loss =0.0552 [10.7369s] train_loss =0.0231 [4.2s]
Epoch 37 [14.6s + 22.2s]: HR = 0.7101, NDCG = 0.4289, loss =0.0549 [10.7718s] train_loss =0.0222 [4.1s]
Epoch 38 [14.6s + 22.1s]: HR = 0.7103, NDCG = 0.4286, loss =0.0547 [10.9642s] train_loss =0.0214 [4.3s]
Epoch 39 [14.6s + 22.8s]: HR = 0.7103, NDCG = 0.4286, loss =0.0546 [10.9997s] train_loss =0.0207 [4.6s]
Epoch 40 [14.6s + 22.0s]: HR = 0.7102, NDCG = 0.4285, loss =0.0544 [10.8578s] train_loss =0.0200 [4.2s]
Epoch 41 [14.6s + 22.0s]: HR = 0.7101, NDCG = 0.4281, loss =0.0543 [10.8210s] train_loss =0.0193 [4.3s]
Epoch 42 [14.6s + 21.9s]: HR = 0.7095, NDCG = 0.4276, loss =0.0542 [11.4345s] train_loss =0.0187 [4.2s]
Epoch 43 [14.6s + 23.2s]: HR = 0.7094, NDCG = 0.4275, loss =0.0542 [10.7509s] train_loss =0.0181 [4.4s]
Epoch 44 [14.6s + 22.2s]: HR = 0.7091, NDCG = 0.4274, loss =0.0541 [11.2951s] train_loss =0.0176 [4.2s]
