lr = 0.01	alpha = 0	embedding_size = 16	reg = [1e-7,1e-7]
Epoch 0 [18.1s + 30.5s]: HR = 0.6161, NDCG = 0.3694, loss =0.2437 [11.4652s] train_loss =0.3712 [4.3s]
Epoch 1 [18.1s + 26.9s]: HR = 0.6449, NDCG = 0.3879, loss =0.2261 [11.5075s] train_loss =0.3505 [4.4s]
Epoch 2 [18.1s + 27.6s]: HR = 0.6532, NDCG = 0.3949, loss =0.2213 [11.3993s] train_loss =0.3414 [4.1s]
Epoch 3 [18.1s + 27.7s]: HR = 0.6625, NDCG = 0.3992, loss =0.2122 [10.7476s] train_loss =0.3352 [4.4s]
Epoch 4 [18.1s + 27.3s]: HR = 0.6696, NDCG = 0.4061, loss =0.2083 [10.8676s] train_loss =0.3294 [4.8s]
Epoch 5 [18.1s + 28.3s]: HR = 0.6805, NDCG = 0.4122, loss =0.2068 [10.7618s] train_loss =0.3241 [4.8s]
Epoch 6 [18.1s + 28.1s]: HR = 0.6895, NDCG = 0.4186, loss =0.2053 [11.4995s] train_loss =0.3195 [4.9s]
Epoch 7 [18.1s + 27.1s]: HR = 0.6970, NDCG = 0.4243, loss =0.2040 [12.8985s] train_loss =0.3157 [4.7s]
Epoch 8 [18.1s + 30.9s]: HR = 0.7014, NDCG = 0.4277, loss =0.2003 [12.1373s] train_loss =0.3124 [5.7s]
Epoch 9 [18.1s + 32.5s]: HR = 0.7066, NDCG = 0.4321, loss =0.1982 [14.6909s] train_loss =0.3098 [6.5s]
Epoch 10 [18.1s + 34.0s]: HR = 0.7103, NDCG = 0.4347, loss =0.1954 [16.4212s] train_loss =0.3075 [5.7s]
Epoch 11 [18.1s + 33.8s]: HR = 0.7128, NDCG = 0.4375, loss =0.1945 [13.0624s] train_loss =0.3055 [5.3s]
Epoch 12 [18.1s + 31.9s]: HR = 0.7150, NDCG = 0.4396, loss =0.1925 [13.6008s] train_loss =0.3037 [5.9s]
Epoch 13 [18.1s + 32.0s]: HR = 0.7170, NDCG = 0.4417, loss =0.1891 [12.1540s] train_loss =0.3022 [5.7s]
Epoch 14 [18.1s + 27.6s]: HR = 0.7188, NDCG = 0.4434, loss =0.1908 [11.1243s] train_loss =0.3003 [4.3s]
Epoch 15 [18.1s + 28.5s]: HR = 0.7206, NDCG = 0.4446, loss =0.1908 [11.1672s] train_loss =0.2988 [4.3s]
Epoch 16 [18.1s + 28.5s]: HR = 0.7235, NDCG = 0.4466, loss =0.1925 [11.2137s] train_loss =0.2973 [4.3s]
Epoch 17 [18.1s + 31.7s]: HR = 0.7257, NDCG = 0.4482, loss =0.1888 [11.3570s] train_loss =0.2958 [4.5s]
Epoch 18 [18.1s + 33.1s]: HR = 0.7277, NDCG = 0.4499, loss =0.1895 [11.3271s] train_loss =0.2943 [4.5s]
Epoch 19 [18.1s + 29.9s]: HR = 0.7300, NDCG = 0.4523, loss =0.1877 [11.1546s] train_loss =0.2928 [4.5s]
Epoch 20 [18.1s + 29.5s]: HR = 0.7306, NDCG = 0.4537, loss =0.1862 [10.6740s] train_loss =0.2914 [4.2s]
