lr = 0.01	alpha = 0	embedding_size = 16	reg = [1e-7,1e-7]
Epoch 0 [208.6s + 446.4s]: HR = 0.4679, NDCG = 0.2580, loss =0.2267 [15.8443s] train_loss =0.3630 [52.9s]
Epoch 1 [208.6s + 449.4s]: HR = 0.5414, NDCG = 0.3003, loss =0.2209 [16.6349s] train_loss =0.3370 [53.2s]
Epoch 2 [208.6s + 452.6s]: HR = 0.5622, NDCG = 0.3128, loss =0.2077 [16.8007s] train_loss =0.3232 [52.2s]
Epoch 3 [208.6s + 448.2s]: HR = 0.5740, NDCG = 0.3190, loss =0.2032 [21.4531s] train_loss =0.3163 [59.1s]
Epoch 4 [208.6s + 422.7s]: HR = 0.5796, NDCG = 0.3239, loss =0.1995 [13.6530s] train_loss =0.3109 [44.5s]
Epoch 5 [208.6s + 400.3s]: HR = 0.5906, NDCG = 0.3293, loss =0.1988 [13.6530s] train_loss =0.3062 [47.8s]
Epoch 6 [208.6s + 402.1s]: HR = 0.5948, NDCG = 0.3334, loss =0.1934 [13.4500s] train_loss =0.3021 [44.7s]
Epoch 7 [208.6s + 401.6s]: HR = 0.6009, NDCG = 0.3371, loss =0.1935 [13.4968s] train_loss =0.2990 [47.3s]
Epoch 8 [208.6s + 400.2s]: HR = 0.6045, NDCG = 0.3395, loss =0.1901 [13.3406s] train_loss =0.2963 [44.8s]
Epoch 9 [208.6s + 403.1s]: HR = 0.6074, NDCG = 0.3416, loss =0.1901 [13.4968s] train_loss =0.2941 [45.3s]
Epoch 10 [208.6s + 401.0s]: HR = 0.6130, NDCG = 0.3448, loss =0.1854 [13.3719s] train_loss =0.2921 [44.6s]
Epoch 11 [208.6s + 402.5s]: HR = 0.6161, NDCG = 0.3462, loss =0.1873 [13.3406s] train_loss =0.2902 [44.6s]
Epoch 12 [208.6s + 400.9s]: HR = 0.6183, NDCG = 0.3479, loss =0.1852 [13.3250s] train_loss =0.2884 [44.5s]
Epoch 13 [208.6s + 403.7s]: HR = 0.6226, NDCG = 0.3507, loss =0.1827 [13.3562s] train_loss =0.2868 [44.3s]
Epoch 14 [208.6s + 402.0s]: HR = 0.6266, NDCG = 0.3531, loss =0.1822 [13.6530s] train_loss =0.2853 [45.1s]
Epoch 15 [208.6s + 403.3s]: HR = 0.6291, NDCG = 0.3552, loss =0.1815 [13.4187s] train_loss =0.2838 [44.6s]
Epoch 16 [208.6s + 406.8s]: HR = 0.6302, NDCG = 0.3555, loss =0.1789 [18.1364s] train_loss =0.2826 [50.4s]
Epoch 17 [208.6s + 415.8s]: HR = 0.6321, NDCG = 0.3568, loss =0.1805 [13.4343s] train_loss =0.2812 [44.7s]
Epoch 18 [208.6s + 398.7s]: HR = 0.6360, NDCG = 0.3595, loss =0.1773 [13.4187s] train_loss =0.2801 [44.2s]
Epoch 19 [208.6s + 403.0s]: HR = 0.6373, NDCG = 0.3601, loss =0.1789 [13.5124s] train_loss =0.2789 [44.7s]
Epoch 20 [208.6s + 402.0s]: HR = 0.6390, NDCG = 0.3616, loss =0.1782 [13.4500s] train_loss =0.2778 [44.6s]
Epoch 21 [208.6s + 403.5s]: HR = 0.6397, NDCG = 0.3629, loss =0.1773 [13.6530s] train_loss =0.2767 [45.1s]
Epoch 22 [208.6s + 400.6s]: HR = 0.6411, NDCG = 0.3640, loss =0.1772 [13.5124s] train_loss =0.2757 [44.4s]
Epoch 23 [208.6s + 401.7s]: HR = 0.6433, NDCG = 0.3650, loss =0.1779 [13.7936s] train_loss =0.2748 [44.4s]
Epoch 24 [208.6s + 398.6s]: HR = 0.6451, NDCG = 0.3662, loss =0.1764 [13.4812s] train_loss =0.2738 [44.4s]
Epoch 25 [208.6s + 402.2s]: HR = 0.6453, NDCG = 0.3671, loss =0.1748 [13.4812s] train_loss =0.2729 [44.3s]
Epoch 26 [208.6s + 401.1s]: HR = 0.6467, NDCG = 0.3680, loss =0.1742 [13.4968s] train_loss =0.2720 [44.5s]
Epoch 27 [208.6s + 404.0s]: HR = 0.6491, NDCG = 0.3696, loss =0.1733 [13.4812s] train_loss =0.2712 [44.3s]
Epoch 28 [208.6s + 398.8s]: HR = 0.6506, NDCG = 0.3705, loss =0.1742 [13.3719s] train_loss =0.2703 [44.1s]
Epoch 29 [208.6s + 402.1s]: HR = 0.6518, NDCG = 0.3716, loss =0.1734 [13.4187s] train_loss =0.2695 [44.1s]
Epoch 30 [208.6s + 399.6s]: HR = 0.6522, NDCG = 0.3720, loss =0.1727 [13.3875s] train_loss =0.2687 [44.1s]
Epoch 31 [208.6s + 403.3s]: HR = 0.6530, NDCG = 0.3729, loss =0.1729 [13.3875s] train_loss =0.2680 [44.3s]
Epoch 32 [208.6s + 399.0s]: HR = 0.6536, NDCG = 0.3734, loss =0.1729 [13.5124s] train_loss =0.2673 [44.3s]
Epoch 33 [208.6s + 403.2s]: HR = 0.6550, NDCG = 0.3743, loss =0.1711 [13.4500s] train_loss =0.2666 [44.6s]
Epoch 34 [208.6s + 400.6s]: HR = 0.6570, NDCG = 0.3757, loss =0.1709 [13.3562s] train_loss =0.2659 [44.6s]
Epoch 35 [208.6s + 403.6s]: HR = 0.6578, NDCG = 0.3766, loss =0.1709 [13.3562s] train_loss =0.2652 [44.2s]
Epoch 36 [208.6s + 400.2s]: HR = 0.6586, NDCG = 0.3773, loss =0.1702 [13.4031s] train_loss =0.2646 [44.6s]
Epoch 37 [208.6s + 403.8s]: HR = 0.6592, NDCG = 0.3776, loss =0.1715 [13.5749s] train_loss =0.2640 [44.2s]
Epoch 38 [208.6s + 401.6s]: HR = 0.6592, NDCG = 0.3779, loss =0.1704 [13.4968s] train_loss =0.2634 [44.4s]
Epoch 39 [208.6s + 403.4s]: HR = 0.6604, NDCG = 0.3786, loss =0.1715 [13.6843s] train_loss =0.2629 [44.4s]
Epoch 40 [208.6s + 404.3s]: HR = 0.6616, NDCG = 0.3794, loss =0.1700 [13.5593s] train_loss =0.2623 [44.5s]
Epoch 41 [208.6s + 404.4s]: HR = 0.6630, NDCG = 0.3807, loss =0.1683 [13.5749s] train_loss =0.2618 [44.6s]
Epoch 42 [208.6s + 425.0s]: HR = 0.6637, NDCG = 0.3814, loss =0.1691 [14.8559s] train_loss =0.2613 [48.9s]
Epoch 43 [208.6s + 403.0s]: HR = 0.6637, NDCG = 0.3815, loss =0.1681 [13.6687s] train_loss =0.2608 [44.1s]
